age	exposure	exposure level	outcome	week	HR
0	kids_cat3	1	non_covid_death	0	DID NOT FIT
0	kids_cat3	1	non_covid_death	1	DID NOT FIT
0	kids_cat3	1	non_covid_death	2	DID NOT FIT
0	kids_cat3	1	non_covid_death	3	DID NOT FIT
0	kids_cat3	1	non_covid_death	4	DID NOT FIT
0	kids_cat3	1	non_covid_death	5	DID NOT FIT
0	kids_cat3	1	non_covid_death	6	DID NOT FIT
0	kids_cat3	1	non_covid_death	7	DID NOT FIT
0	kids_cat3	2	non_covid_death	0	DID NOT FIT
0	kids_cat3	2	non_covid_death	1	DID NOT FIT
0	kids_cat3	2	non_covid_death	2	DID NOT FIT
0	kids_cat3	2	non_covid_death	3	DID NOT FIT
0	kids_cat3	2	non_covid_death	4	DID NOT FIT
0	kids_cat3	2	non_covid_death	5	DID NOT FIT
0	kids_cat3	2	non_covid_death	6	DID NOT FIT
0	kids_cat3	2	non_covid_death	7	DID NOT FIT
1	kids_cat3	1	non_covid_death	0	DID NOT FIT
1	kids_cat3	1	non_covid_death	1	DID NOT FIT
1	kids_cat3	1	non_covid_death	2	DID NOT FIT
1	kids_cat3	1	non_covid_death	3	DID NOT FIT
1	kids_cat3	1	non_covid_death	4	DID NOT FIT
1	kids_cat3	1	non_covid_death	5	DID NOT FIT
1	kids_cat3	1	non_covid_death	6	DID NOT FIT
1	kids_cat3	1	non_covid_death	7	DID NOT FIT
1	kids_cat3	2	non_covid_death	0	DID NOT FIT
1	kids_cat3	2	non_covid_death	1	DID NOT FIT
1	kids_cat3	2	non_covid_death	2	DID NOT FIT
1	kids_cat3	2	non_covid_death	3	DID NOT FIT
1	kids_cat3	2	non_covid_death	4	DID NOT FIT
1	kids_cat3	2	non_covid_death	5	DID NOT FIT
1	kids_cat3	2	non_covid_death	6	DID NOT FIT
1	kids_cat3	2	non_covid_death	7	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	0	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	1	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	2	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	3	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	4	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	5	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	6	DID NOT FIT
0	kids_cat3	1	covid_tpp_prob	7	DID NOT FIT
0	kids_cat3	2	covid_tpp_prob	0	DID NOT FIT
0	kids_cat3	2	covid_tpp_prob	1	DID NOT FIT
0	kids_cat3	2	covid_tpp_prob	2	DID NOT FIT
0	kids_cat3	2	covid_tpp_prob	3	DID NOT FIT
0	kids_cat3	2	covid_tpp_prob	4	DID NOT FIT
