age	exposure	exposure level	outcome	week	HR
0	kids_cat3	1	non_covid_death	0	0.71 (0.60-0.84)
0	kids_cat3	1	non_covid_death	1	0.82 (0.57-1.20)
0	kids_cat3	1	non_covid_death	2	0.50 (0.29-0.89)
0	kids_cat3	1	non_covid_death	3	0.74 (0.27-2.02)
0	kids_cat3	1	non_covid_death	4	0.62 (0.35-1.07)
0	kids_cat3	1	non_covid_death	5	0.62 (0.39-0.99)
0	kids_cat3	1	non_covid_death	6	0.61 (0.40-0.94)
0	kids_cat3	1	non_covid_death	7	1.04 (0.39-2.78)
0	kids_cat3	2	non_covid_death	0	0.76 (0.63-0.91)
0	kids_cat3	2	non_covid_death	1	0.66 (0.41-1.07)
0	kids_cat3	2	non_covid_death	2	0.78 (0.45-1.34)
0	kids_cat3	2	non_covid_death	3	0.24 (0.03-1.89)
0	kids_cat3	2	non_covid_death	4	0.60 (0.30-1.20)
0	kids_cat3	2	non_covid_death	5	1.12 (0.72-1.76)
0	kids_cat3	2	non_covid_death	6	0.69 (0.43-1.11)
0	kids_cat3	2	non_covid_death	7	1.67 (0.57-4.87)
1	kids_cat3	1	non_covid_death	0	0.94 (0.80-1.10)
1	kids_cat3	1	non_covid_death	1	1.01 (0.70-1.47)
1	kids_cat3	1	non_covid_death	2	0.60 (0.34-1.05)
1	kids_cat3	1	non_covid_death	3	1.84 (0.70-4.88)
1	kids_cat3	1	non_covid_death	4	0.93 (0.56-1.54)
1	kids_cat3	1	non_covid_death	5	1.04 (0.67-1.59)
1	kids_cat3	1	non_covid_death	6	1.21 (0.82-1.80)
1	kids_cat3	1	non_covid_death	7	0.00 (   .-   .)
1	kids_cat3	2	non_covid_death	0	1.01 (0.82-1.24)
1	kids_cat3	2	non_covid_death	1	1.06 (0.66-1.69)
1	kids_cat3	2	non_covid_death	2	0.50 (0.22-1.14)
1	kids_cat3	2	non_covid_death	3	1.15 (0.26-5.07)
1	kids_cat3	2	non_covid_death	4	1.25 (0.69-2.26)
1	kids_cat3	2	non_covid_death	5	1.99 (1.33-2.98)
1	kids_cat3	2	non_covid_death	6	0.60 (0.29-1.22)
1	kids_cat3	2	non_covid_death	7	0.67 (0.09-4.87)
0	kids_cat3	1	covid_tpp_prob	0	1.00 (0.90-1.10)
0	kids_cat3	1	covid_tpp_prob	1	1.09 (0.95-1.25)
0	kids_cat3	1	covid_tpp_prob	2	0.99 (0.88-1.11)
0	kids_cat3	1	covid_tpp_prob	3	0.80 (0.70-0.92)
0	kids_cat3	1	covid_tpp_prob	4	0.97 (0.89-1.06)
0	kids_cat3	1	covid_tpp_prob	5	0.94 (0.84-1.04)
0	kids_cat3	1	covid_tpp_prob	6	0.93 (0.83-1.03)
0	kids_cat3	1	covid_tpp_prob	7	1.05 (0.93-1.19)
0	kids_cat3	2	covid_tpp_prob	0	1.13 (0.99-1.28)
0	kids_cat3	2	covid_tpp_prob	1	1.13 (0.95-1.34)
0	kids_cat3	2	covid_tpp_prob	2	1.01 (0.87-1.18)
0	kids_cat3	2	covid_tpp_prob	3	1.09 (0.92-1.28)
0	kids_cat3	2	covid_tpp_prob	4	0.90 (0.80-1.02)
